"Week","fatalities"
"2022-12-26",0
"2023-01-02",3
"2023-01-09",11
"2023-01-16",9
"2023-01-23",6
"2023-01-30",19
"2023-02-06",12
"2023-02-13",4
"2023-02-20",11
"2023-02-27",6
"2023-03-06",9
"2023-03-13",8
"2023-03-20",5
"2023-03-27",9
"2023-04-03",6
"2023-04-10",7
"2023-04-17",3
"2023-04-24",5
"2023-05-01",6
"2023-05-08",12
"2023-05-15",32
"2023-05-22",14
"2023-05-29",19
"2023-06-05",7
"2023-06-12",9
"2023-06-19",16
"2023-06-26",12
"2023-07-03",6
"2023-07-10",1
"2023-07-17",10
"2023-07-24",26
"2023-07-31",14
"2023-08-07",13
"2023-08-14",16
"2023-08-21",9
"2023-08-28",25
"2023-09-04",22
"2023-09-11",14
"2023-09-18",30
"2023-09-25",27
"2023-10-02",15
"2023-10-09",7
"2023-10-16",11
"2023-10-23",25
"2023-10-30",11
"2023-11-06",15
"2023-11-13",10
"2023-11-20",14
"2023-11-27",10
