actor1,fatalities.x,fatalities.y,fatalities,actor_pn
BDM: Bonde do Maluco,20,62,82,BDM
CV: Red Command,35,31,66,CV
Cangaco Gang,3,0,3,Cangaco Gang
Katiara Gang,1,0,1,Katiara Gang
Military Forces of Brazil (2023-),5,0,5,Military Forces
Military Forces of Brazil (2023-) Military Police,200,82,282,Military Police
PCE: First Command of Eunapolis,2,0,2,PCE
Police Forces of Brazil (2023-) Civil Police,12,17,29,Civil Police
Police Forces of Brazil (2023-) Federal Police,1,8,9,Federal Police
Rioters (Brazil),1,0,1,Rioters (Brazil)
Tropa do A Gang,12,3,15,Tropa do A Gang
Unidentified Armed Group (Brazil),53,4,57,Armed Group*
Unidentified Gang (Brazil),93,135,228,Faction*
Unidentified Gang and/or Police Militia,153,37,190,Faction/Police Militia*
Private Security Forces (Brazil),0,1,1,Private Security Forces
